Common_Name,Sci_Name,
Black Lipped Pearl Oyster,Pinctada margaritifera,
Polar Bear,Ursus maritimus,
Dolphin,Delphinus delphis,
Loggerhead Turtle,Caretta caretta,
Harbor Seal,Phoca vitulina,
Giant Squid,Architeuthis dux,
West Indian Manatee,Trichechus manatus,
Northern Sea Lion,Eumetopias jabatus,
Walrus,Odobenus rosmarus,
Northern Elephant Seal,Mirounga anugustirostris,
Yellow Fin Tuna,Thunnus albacares,
Tiger Shark,Galeocerdo cuvier,
Sperm Whale,Physeter macrocephalus,
Sea Otter,Enhydra lutris,